year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2010,OD-DIST-koraput,Koraput,1362.0,48559,35.65,18.11,19.69,93.86,33,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-malkangiri,Malkangiri,555.0,25602,46.13,34.98,13.19,91.81,8,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-mayurbhanj,Mayurbhanj,2588.0,23723,9.17,14.72,6.23,95.93,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nabarangpur,Nabarangpur,1191.0,20044,16.83,15.29,11.01,97.71,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nayagarh,Nayagarh,991.0,2964,2.99,8.13,3.68,85.59,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nuapada,Nuapada,612.0,15322,25.04,17.31,14.47,46.78,15,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-puri,Puri,1735.0,56,0.03,3.9,0.08,8.93,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-rayagada,Rayagada,954.0,51825,54.32,28.56,19.02,97.7,20,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-sambalpur,Sambalpur,1068.0,11894,11.14,11.0,10.13,88.8,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-subarnapur,Subarnapur,624.0,1927,3.09,13.27,2.33,45.87,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-sundargarh,Sundargarh,2124.0,16084,7.57,18.69,4.05,95.57,38,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2011,OD-DIST-angul,Angul,1312.0,10316,7.86,14.96,5.26,88.32,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-balangir,Balangir,1649.0,6552,3.97,11.39,3.49,53.85,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-balasore,Balasore,2419.0,1216,0.5,6.22,0.81,74.42,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-bargarh,Bargarh,1502.0,1532,1.02,9.53,1.07,83.62,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-bhadrak,Bhadrak,1503.0,182,0.12,0.57,2.13,64.29,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-boudh,Boudh,429.0,1893,4.41,6.27,7.04,94.98,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-cuttack,Cuttack,2656.0,752,0.28,7.15,0.4,34.44,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-deogarh,Deogarh,312.0,5765,18.48,23.13,7.99,90.03,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-dhenkanal,Dhenkanal,1195.0,3938,3.3,14.27,2.31,73.16,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-gajapati,Gajapati,591.0,11127,18.83,15.64,12.04,98.33,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-ganjam,Ganjam,3700.0,10362,2.8,9.18,3.05,89.11,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-jagatsinghpur,Jagatsinghpur,1190.0,175,0.15,8.23,0.18,28.57,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-jajpur,Jajpur,1888.0,2274,1.2,8.19,1.47,54.97,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-jharsuguda,Jharsuguda,473.0,444,0.94,7.83,1.2,90.77,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-kalahandi,Kalahandi,1578.0,20932,13.26,15.25,8.7,88.37,17,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
